Provider,TotalClaims,UniqueBeneficiaries,TotalReimbursed,AvgReimbursed,MaxReimbursed,AvgDeductible,AvgDiagnosisCodes,AvgProcedureCodes,AvgHospitalStayDays,AvgClaimDuration,AvgPatientAge,DeceasedPatientCount,AvgChronicCondCount,InpatientClaimCount,OutpatientClaimCount,ClaimsPerPatient,InpatientRatio,DeceasedPatientRatio,FraudLabel
PRV51001,25,24,104640,4185.6,42000,213.6,3.2,0.12,1.0,1.44,78.36,0,5.56,5,20,1.0416666666666667,0.2,0.0,0
PRV51003,132,117,605670,4588.409090909091,57000,502.1666666666667,5.25,0.36363636363636365,2.4242424242424243,3.6742424242424243,69.6590909090909,1,4.545454545454546,62,70,1.1282051282051282,0.4696969696969697,0.008547008547008548,1
PRV51004,149,138,52170,350.13422818791946,3300,2.0805369127516777,2.5838926174496644,0.0,0.0,1.429530201342282,71.87919463087249,1,4.342281879194631,0,149,1.0797101449275361,0.0,0.007246376811594203,0
PRV51005,1165,495,280910,241.1244635193133,4080,3.1759656652360513,2.5888412017167384,0.0,0.0,1.088412017167382,70.10987124463519,4,4.335622317596567,0,1165,2.3535353535353534,0.0,0.00808080808080808,1
PRV51007,72,58,33710,468.19444444444446,10000,45.333333333333336,2.986111111111111,0.013888888888888888,0.2222222222222222,0.9583333333333334,68.81944444444444,1,4.166666666666667,3,69,1.2413793103448276,0.041666666666666664,0.017241379310344827,0
PRV51008,43,36,35630,828.6046511627907,21000,53.86046511627907,3.1627906976744184,0.046511627906976744,0.18604651162790697,1.5348837209302326,75.11627906976744,0,3.9069767441860463,2,41,1.1944444444444444,0.046511627906976744,0.0,0
PRV51011,58,53,16630,286.7241379310345,5000,23.586206896551722,2.5344827586206895,0.0,0.08620689655172414,0.5517241379310345,73.94827586206897,1,4.586206896551724,1,57,1.0943396226415094,0.017241379310344827,0.018867924528301886,0
PRV51012,48,31,16890,351.875,3300,2.0833333333333335,2.5625,0.0,0.0,3.7083333333333335,74.10416666666667,0,4.625,0,48,1.5483870967741935,0.0,0.0,0
PRV51013,46,44,14880,323.4782608695652,1800,5.0,2.5434782608695654,0.0,0.0,1.4565217391304348,74.08695652173913,0,4.413043478260869,0,46,1.0454545454545454,0.0,0.0,0
PRV51014,30,25,10480,349.3333333333333,3300,4.0,3.6666666666666665,0.0,0.0,0.4666666666666667,70.83333333333333,1,4.333333333333333,0,30,1.2,0.0,0.04,0
PRV51015,8,7,700,87.5,200,0.0,3.125,0.0,0.0,0.375,71.75,0,6.375,0,8,1.1428571428571428,0.0,0.0,0
PRV51016,6,6,170,28.333333333333332,90,0.0,3.5,0.0,0.0,0.3333333333333333,70.5,0,5.5,0,6,1.0,0.0,0.0,0
PRV51017,515,420,142720,277.126213592233,3300,2.0388349514563107,2.704854368932039,0.003883495145631068,0.0,1.3572815533980582,72.23106796116505,5,4.36504854368932,0,515,1.2261904761904763,0.0,0.011904761904761904,0
PRV51021,257,208,348830,1357.3151750972763,57000,122.53696498054475,3.4280155642023344,0.08560311284046693,0.5369649805447471,2.0,72.66536964980544,1,4.715953307392996,29,228,1.2355769230769231,0.11284046692607004,0.004807692307692308,1
PRV51023,36,35,65610,1822.5,13000,239.55555555555554,4.555555555555555,0.1388888888888889,0.8888888888888888,3.6666666666666665,72.80555555555556,0,4.361111111111111,9,27,1.0285714285714285,0.25,0.0,0
PRV51024,39,38,64050,1642.3076923076924,13000,248.76923076923077,3.5128205128205128,0.1794871794871795,1.0,1.641025641025641,68.1025641025641,0,4.717948717948718,9,30,1.0263157894736843,0.23076923076923078,0.0,0
PRV51025,87,76,118350,1360.344827586207,17000,164.183908045977,3.67816091954023,0.13793103448275862,1.0459770114942528,2.1724137931034484,73.5632183908046,0,4.436781609195402,13,74,1.144736842105263,0.14942528735632185,0.0,0
